name,budget_mean,gross_total,budget_total,amount_of_movies,mean_actors,gross_mean
Stuart Gillard,16000000.0,15448043,16000000,1,4089.1666666666665,15448043.0
Rodney Ascher,5426.0,259765,5426,1,606.5,259765.0
Tobe Hooper,12000000.0,4884663,12000000,1,6727.5,4884663.0
Peter Kassovitz,45000000.0,4956401,45000000,1,3453.0,4956401.0
Shane Meadows,1500000.0,327919,1500000,1,3888.8333333333335,327919.0
John Krasinski,3800000.0,706484,3800000,1,2209.5,706484.0
John Gulager,4100000.0,8548284,8200000,2,2384.6666666666665,4274142.0
Shari Springer Berman,7000000.0,453079,7000000,1,3536.1666666666665,453079.0
Christopher (I) Nolan,125625000.0,4227483234,1005000000,8,913.69444444444446,528435404.25
Bob (I) Dolman,10000000.0,38068353,10000000,1,2212.3333333333335,38068353.0
Mark L. Lester,8600000.0,18405429,17200000,2,4159.333333333333,9202714.5
Walter Salles,27500000.0,50201105,55000000,2,1985.9166666666667,25100552.5
Stefen Fangmeier,100000000.0,249488115,100000000,1,932.66666666666663,249488115.0
Steven (I) Brill,41800000.0,301762232,209000000,5,1376.3333333333333,60352446.399999999
Jeff Kanew,20000000.0,41095381,60000000,3,3701.8823529411766,13698460.333333334
Godfrey Reggio,3000000.0,155640,3000000,1,3661.6666666666665,155640.0
John (I) Landis,31000000.0,503578307,217000000,7,2620.9729729729729,71939758.142857149
Rebecca (I) Miller,812500.0,1477834,1625000,2,2002.9166666666667,738917.0
Paul Haggis,23125000.0,196260810,92500000,4,887.28571428571433,49065202.5
Barry (I) Levinson,34600000.0,1017510616,519000000,15,2043.679012345679,67834041.066666663
Werner Herzog,15000000.0,8875099,30000000,2,2591.75,4437549.5
Jonny (I) Campbell,5000000.0,2091552,5000000,1,5606.833333333333,2091552.0
Paul Johansson,20000000.0,4752353,20000000,1,3526.0,4752353.0
Lee Tamahori,72200000.0,695739211,361000000,5,1753.6666666666667,139147842.19999999
Gary McKendry,70000000.0,65409046,70000000,1,826.33333333333337,65409046.0
Mark Tarlov,6000000.0,4394936,6000000,1,2543.6666666666665,4394936.0
Ruben Fleischer,37200000.0,244646367,111600000,3,1543.2352941176471,81548789.0
John Putch,10000000.0,3333823,10000000,1,2829.1666666666665,3333823.0
Tony Bancroft,90000000.0,304320254,90000000,1,2515.3333333333335,304320254.0
Jeffrey W. Byrd,15000000.0,3998889,15000000,1,3450.8333333333335,3998889.0
Clare Kilner,16000000.0,14108518,16000000,1,3206.0,14108518.0
Miguel Sapochnik,32000000.0,18409891,32000000,1,1297.0,18409891.0
Rupert Wainwright,23500000.0,118957380,47000000,2,4160.833333333333,59478690.0
