title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
Fired Up! (2009)	Will Gluck	6.2	37292	2009	Comedy	17231291	20000000	91	AnnaLynne McCord	387	F	Janel Parrish	657	F	Margo Harshman	1353	F	Alan Ritchson	1399	M	David Walton	1436	M	Danneel Ackles	1533	F	Two guys Nick and Shawn decide a two week stint at a Cheerleaders' Camp is the perfect opportunity to score tons of meaningless romantic liaisons with lonely girls in tight-tops and short-short skirts. But their lusty plan to caress as many pom-poms as possible goes awry when one of the dudes fall in love.
Four Christmases (2008)	Seth (I) Gordon	5.6	48970	2008	Comedy	163733697	80000000	88	Katy Mixon	118	F	Reese Witherspoon	455	F	Vince Vaughn	484	M	Jon Favreau	1329	M	Dwight Yoakam	1382	M	Mary Steenburgen	1440	F	Brad and Kate have been together three years in love having fun doing all sorts of things together with no intention of marriage or children. Christmas morning they're on their way to Fiji having told their two sets of divorced parents that they're off to do charity work. Through a fluke they have no choice but to visit each of their four idiosyncratic parents. As the day progresses Brad and Kate remember growing up each learns more about the other and Kate realizes that her life may not be as good as it could be. Do they know each other well enough to weather the storms families bring?
Drop Dead Gorgeous (1999)	Michael Patrick Jann	6.6	27548	1999	Comedy	10561238	15000000	97	Kirsten Dunst	444	F	Allison Janney	862	F	Kirstie Alley	1266	F	Ellen Barkin	1364	F	Thomas Lennon	1731	M	Adam West	2712	M	In a small Minnesota town the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps. Explosions falling lights and trailer fires prove that. As the Leemans are the richest family in town the police are pretty relaxed about it all. Despite everything main rival (but nice) Amber Atkins won't be stopped. There could well be more death and disappointment to come.
Mozart and the Whale (2005)	Petter Næss	6.9	7645	2005	Comedy	36006	12000000	94	Josh Hartnett	602	M	Radha Mitchell	1638	F	John Carroll Lynch	2155	M	Nate Mooney	2957	M	Gary Cole	3601	M	Erica Leerhsen	7607	F	A dramatic-comedy inspired by the lives of two people with Asperger's Syndrome a form of autism whose emotional dysfunctions threaten to sabotage their budding romance. Donald is a good-natured but hapless taxi driver with a love of birds and a superhuman knack for numbers. Like many people with AS he likes patterns and routines. But when the beautiful but complicated Isabel joins the autism support group he leads his life - and his heart - are turned upside down.
The Peacemaker (1997)	Mimi Leder	5.9	46867	1997	Action	110463140	50000000	124	Nicole Kidman	415	F	George Clooney	682	M	Goran Visnjic	1336	M	Adina Porter	1976	F	Holt McCallany	4101	M	Terry Serpico	5272	M	Two trains crash somewhere in Russia one carrying a nuclear payload. A nuclear explosion follows the crash and the world is on alert... However White House nuclear expert Dr. Julia Kelly doesn't think it was an accident... Special Operations Intelligence Officer Colonel Thomas Devoe doesn't think so either... Together they must unravel a conspiracy that goes from Europe to New York to stop a terrorist who has no demands...
Holy Rollers (2010)	Kevin Asch	5.9	4307	2010	Biography	302886	1000000	89	Jesse Eisenberg	831	M	Justin Bartha	3646	M	Hallie Kate Eisenberg	3839	F	Ari Graynor	4374	F	Elizabeth Marvel	5577	F	Karina Arroyave	9900	F	Inspired by a true story of a young Hasidic man who was lured into the world of international drug trafficking in the late 90s.
X-Men: Days of Future Past (2014)	Bryan Singer	8	523836	2014	Action	748121534	200000000	151	Evan Peters	100	M	Michael Fassbender	114	M	James McAvoy	201	M	James Marsden	226	M	Hugh Jackman	252	M	Famke Janssen	304	F	Sentinels robots that were created for the purpose of hunting down mutants were released in 1973. 50 years later the Sentinels would also hunt humans who aid mutants. Charles Xavier and his X-Men try their best to deal with the Sentinels but they are able to adapt and deal with all mutant abilities. Charles decides to go back in time and change things. He asks Kitty Pryde who can send a person's consciousness into the person's past to send him but she can only send someone back a few weeks because if she sends someone back further it could harm them. So Logan decides to go back himself because he might be able to withstand it. So Charles tells him that it's Mystique who's responsible because when she learned about the Sentinels she sought out Bolivar Trask the man who created them and killed him. She would be caught and studied and her ability to change was somehow added to the Sentinels which is why they can adapt. Logan must go to the younger Charles and ask him to help; problem is that he was despondent at that time and without his powers because he took a drug which allows him to walk but takes away his powers. Logan is also told to find Magneto.
Article 99 (1992)	Howard Deutch	6.1	2487	1992	Comedy	6375979	18000000	100	John C. McGinley	599	M	Kiefer Sutherland	624	M	Forest Whitaker	1800	M	Ray Liotta	2118	M	Keith David	2222	M	Jeffrey Tambor	2436	M	A group of doctors in a veteran's hospital must contend with their hopeless situation: too many patients and not enough beds. The main cause of their problems is bureaucratic belt-tightening by the hospital administrators. The doctors are determined to give the best service they can even if that means defying the orders of management and performing unauthorized operations.
Frozen (2013/I)	Chris (II) Buck	7.6	429461	2013	Adventure	1276480335	150000000	102	Annaleigh Ashford	260	F	Alan Tudyk	1256	M	Josh Gad	1943	M	Courtney Peldon	2123	F	Jonathan Groff	2615	M	Idina Menzel	2734	F	Anna a fearless optimist sets off on an epic journey - teaming up with rugged mountain man Kristoff and his loyal reindeer Sven - to find her sister Elsa whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions mystical trolls and a hilarious snowman named Olaf Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Anna's sister Elsa looks poised regal and reserved but in reality she lives in fear as she wrestles with a mighty secret-she was born with the power to create ice and snow. It's a beautiful ability but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna Elsa has isolated herself spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one not even her sister can help her.
FernGully: The Last Rainforest (1992)	Bill Kroyer	6.5	21014	1992	Adventure	24650296	24000000	76	Tim Curry	85	M	Pamela Adlon	536	F	Christian Slater	753	M	Robin Williams	795	M	Samantha Mathis	1868	F	Tommy Chong	4415	M	The fairies live in a peaceful place in the forest called Fern Gully which has been protected for many years by Magi a wise fairy with strong powers. Her grand-daughter Crysta is a charming beautiful fairy that is very intrigued about the world outside of Fern Gully. She along with the other fairies in the forest do not believe humans exist and are only in stories until a crazy bat by the name of Batty comes and tells them all these crazy stories about how he was captured by humans and experimented on. At first no one believes him except Crysta and she is determined to find out if humans are real. She goes to a place called Mount Warning where the evil shadow of destruction Hexxus is known to be trapped and finds a human named Zak. When he is almost crushed by a tree Crysta accidently shrinks him to fairy-size and he falls on a tree that is about to be devoured by "The Leveller". "The Leveller" is a wood cutting machine that has been cutting down every tree the humans have been putting red Xs on. Crysta saves Zak from "The Leveller" which she thinks is just a monster but she cannot properly un-shrink him. To avoid her being mad at him Zak tells her that the red Xs keep the monster back instead of what they are really there for which is to pick which trees to cut down. They decide to take Zak to Magi so she can un-shrink him on the way Zak sees the forest really for the first time with all its beauty and life. Back toward Mount Warning the humans have accidently released Hexxus who is set on destroying Fern Gully he uses "The Leveller" to cut down all the trees to Fern Gully. When Crysta Zak and Batty make it back to Fern Gully the fairies cannot believe the Zak is really a human and they all excited to see him and learn about him. The only one who is truly worried is Magi she goes to check on the path to Fern Gully and sees that it is beginning destroyed and Hexxus is coming this way. She shows Crysta the red Xs and tells her the trees cannot be saved. With Hexxus drawing closer and closer to Fern Gully Magi calls for all the fairies to come around to tells them of the danger. She uses the last of her magic to try and protect Fern Gully.
