title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Fired Up! (2009),Will Gluck,6.2,37292,2009,Comedy,17231291,20000000,91,AnnaLynne McCord,387,F,Janel Parrish,657,F,Margo Harshman,1353,F,Alan Ritchson,1399,M,David Walton,1436,M,Danneel Ackles,1533,F
Four Christmases (2008),Seth (I) Gordon,5.6,48970,2008,Comedy,163733697,80000000,88,Katy Mixon,118,F,Reese Witherspoon,455,F,Vince Vaughn,484,M,Jon Favreau,1329,M,Dwight Yoakam,1382,M,Mary Steenburgen,1440,F
Drop Dead Gorgeous (1999),Michael Patrick Jann,6.6,27548,1999,Comedy,10561238,15000000,97,Kirsten Dunst,444,F,Allison Janney,862,F,Kirstie Alley,1266,F,Ellen Barkin,1364,F,Thomas Lennon,1731,M,Adam West,2712,M
Mozart and the Whale (2005),Petter Næss,6.9,7645,2005,Comedy,36006,12000000,94,Josh Hartnett,602,M,Radha Mitchell,1638,F,John Carroll Lynch,2155,M,Nate Mooney,2957,M,Gary Cole,3601,M,Erica Leerhsen,7607,F
The Peacemaker (1997),Mimi Leder,5.9,46867,1997,Action,110463140,50000000,124,Nicole Kidman,415,F,George Clooney,682,M,Goran Visnjic,1336,M,Adina Porter,1976,F,Holt McCallany,4101,M,Terry Serpico,5272,M
Holy Rollers (2010),Kevin Asch,5.9,4307,2010,Biography,302886,1000000,89,Jesse Eisenberg,831,M,Justin Bartha,3646,M,Hallie Kate Eisenberg,3839,F,Ari Graynor,4374,F,Elizabeth Marvel,5577,F,Karina Arroyave,9900,F
X-Men: Days of Future Past (2014),Bryan Singer,8,523836,2014,Action,748121534,200000000,151,Evan Peters,100,M,Michael Fassbender,114,M,James McAvoy,201,M,James Marsden,226,M,Hugh Jackman,252,M,Famke Janssen,304,F
Article 99 (1992),Howard Deutch,6.1,2487,1992,Comedy,6375979,18000000,100,John C. McGinley,599,M,Kiefer Sutherland,624,M,Forest Whitaker,1800,M,Ray Liotta,2118,M,Keith David,2222,M,Jeffrey Tambor,2436,M
Frozen (2013/I),Chris (II) Buck,7.6,429461,2013,Adventure,1276480335,150000000,102,Annaleigh Ashford,260,F,Alan Tudyk,1256,M,Josh Gad,1943,M,Courtney Peldon,2123,F,Jonathan Groff,2615,M,Idina Menzel,2734,F
FernGully: The Last Rainforest (1992),Bill Kroyer,6.5,21014,1992,Adventure,24650296,24000000,76,Tim Curry,85,M,Pamela Adlon,536,F,Christian Slater,753,M,Robin Williams,795,M,Samantha Mathis,1868,F,Tommy Chong,4415,M
